jan.2013,"72,1","14,7","4,9"
fev.2013,"76,0","15,4","4,9"
mar.2013,"76,0","15,4","4,9"
abr./2013,"77,4","15,6","4,9"
mai.2013,"77,9","15,6","4,9"
jun.2013,"78,4","15,8","4,9"
jul.2013,"79,0","15,8","4,9"
ago.2013,"80,2","15,8","5,0"
set.2013,"81,3","15,9","5,1"
out.2013,"79,0","15,4","5,1"
nov.2013,"79,1","15,4","5,1"
dez.2013,"78,7","15,4","5,1"
jan.2014,"78,9","15,4","5,0"
fev.2014,"75,4","15,0","5,0"
mar.2014,"75,1","15,1","4,9"
abr./2014,"75,4","15,4","4,8"
mai.2014,"75,1","15,3","4,9"
jun.2014,"77,8","15,7","4,9"
jul.2014,"78,1","15,7","4,9"
ago.2014,"78,5","15,7","4,9"
set.2014,"79,9","15,8","5,0"
out.2014,"77,8","15,3","5,0"
nov.2014,"78,1","15,4","5,0"
dez.2014,"78,6","15,3","5,1"
jan.2015,"79,0","15,3","5,1"
fev.2015,"78,3","15,1","5,1"
mar.2015,"78,2","15,0","5,1"
abr./2015,"78,9","15,1","5,2"
mai.2015,"78,5","15,2","5,1"
jun.2015,"80,0","15,4","5,1"
jul.2015,"81,8","15,5","5,2"
ago.2015,"84,3","15,7","5,3"
set.2015,"84,7","15,7","5,3"
out.2015,"83,1","15,4","5,3"
nov.2015,"81,9","15,2","5,3"
dez.2015,"82,0","15,2","5,3"
jan.2016,"82,3","15,2","5,3"
fev.2016,"83,3","15,3","5,4"
mar.2016,"83,5","15,4","5,4"
abr./2016,"84,6","15,6","5,4"
mai.2016,"79,9","15,6","5,1"
jun.2016,"76,2","15,7","4,8"
jul.2016,"69,1","15,6","4,3"
ago.2016,"68,4","15,8","4,3"
set.2016,"66,9","15,9","4,2"
out.2016,"83,1","16,0","5,1"
nov.2016,"84,6","16,1","5,2"
dez.2016,"83,8","16,0","5,2"
jan.2017,"84,4","16,0","5,2"
fev.2017,"87,4","16,5","5,2"
mar.2017,"88,9","16,7","5,3"
abr./2017,"91,4","17,0","5,3"
mai.2017,"92,8","17,2","5,3"
jun.2017,"93,8","17,3","5,4"
jul.2017,"96,0","17,3","5,5"
ago.2017,"97,1","17,4","5,5"
set.2017,"97,7","17,5","5,5"
out.2017,"92,3","17,1","5,4"
nov.2017,"92,3","17,0","5,4"
dez.2017,"92,2","17,0","5,4"
jan.2018,"92,3","17,0","5,4"
fev.2018,"88,0","16,4","5,3"
mar.2018,"87,2","16,3","5,3"
abr./2018,"88,6","16,6","5,3"
mai.2018,"89,2","16,6","5,3"
jun.2018,"85,0","16,6","5,1"
jul.2018,"82,9","16,6","4,9"
ago.2018,"82,1","16,6","4,9"
set.2018,"81,3","16,6","4,8"
out.2018,"90,4","16,7","5,4"
nov.2018,"90,4","16,7","5,4"
dez./2018,"91,1","16,6","5,4"
jan.2019,"91,1","16,6","5,4"
fev.2019,"91,6","16,8","5,4"
mar.2019,"92,8","17,0","5,4"
abr.2019,"94,0","17,2","5,4"
mai.2019,"95,2","17,2","5,5"
jun.2019,"97,0","17,3","5,6"
jul./2019,"98,5","17,2","5,7"
ago.2019,"99,3","17,3","5,7"
set.2019,"99,9","17,4","5,7"
out.2019,"98,3","17,5",5.6
nov.2019,"98,3","17,5","5,6"
dez.2019,"98,4","17,5","5,6"
jan.2020,"98,7","17,5","5,6"
fev./2020,"100,4","17,9","5,5"
mar.2020,"100,0","17,8","5,5"
abr.2020,"101,8","18,1","5,5"
mai.2020,"102,3","18,5","5,5"
jun.2020,"100,9","18,4","5,4"
jul.2020,"100,5","18,4","5,4"
ago.2020,"102,1","18,5","5,5"
