14/10/2010,"25,44"
15/10/2010,"25,33"
18/10/2010,"25,30"
19/10/2010,"25,53"
20/10/2010,"25,40"
21/10/2010,"25,63"
22/10/2010,"25,73"
25/10/2010,"25,75"
26/10/2010,"26,02"
27/10/2010,"26,09"
28/10/2010,"26,52"
29/10/2010,"26,76"
01/11/2010,"26,64"
03/11/2010,"26,89"
04/11/2010,"27,13"
05/11/2010,"26,97"
08/11/2010,"27,30"
09/11/2010,"27,66"
10/11/2010,"28,26"
11/11/2010,"28,67"
12/11/2010,"28,86"
16/11/2010,"28,72"
17/11/2010,"28,81"
18/11/2010,"28,91"
19/11/2010,"28,85"
22/11/2010,"28,59"
23/11/2010,"29,09"
24/11/2010,"29,06"
25/11/2010,"28,94"
26/11/2010,"28,88"
29/11/2010,"28,86"
30/11/2010,"28,62"
01/12/2010,"28,78"
02/12/2010,"28,72"
03/12/2010,"28,56"
06/12/2010,"28,49"
07/12/2010,"28,34"
08/12/2010,"28,34"
09/12/2010,"28,33"
10/12/2010,"28,36"
13/12/2010,"28,35"
14/12/2010,"28,20"
15/12/2010,"28,30"
16/12/2010,"28,17"
17/12/2010,"28,39"
20/12/2010,"28,51"
21/12/2010,"28,18"
22/12/2010,"28,12"
23/12/2010,"28,18"
27/12/2010,"28,33"
28/12/2010,"28,31"
29/12/2010,"28,39"
30/12/2010,"28,28"
03/01/2011,"28,23"
04/01/2011,"28,33"
05/01/2011,"28,51"
06/01/2011,"28,71"
07/01/2011,"28,97"
10/01/2011,"29,26"
11/01/2011,"29,39"
12/01/2011,"29,39"
13/01/2011,"29,91"
14/01/2011,"30,12"
17/01/2011,"30,25"
18/01/2011,"30,68"
19/01/2011,"31,23"
20/01/2011,"31,36"
21/01/2011,"31,54"
24/01/2011,"31,38"
25/01/2011,"31,67"
26/01/2011,"32,05"
27/01/2011,"32,15"
28/01/2011,"32,10"
31/01/2011,"32,11"
01/02/2011,"32,24"
02/02/2011,"32,25"
03/02/2011,"32,16"
04/02/2011,"32,12"
07/02/2011,"31,93"
08/02/2011,"31,89"
09/02/2011,"31,96"
10/02/2011,"31,90"
11/02/2011,"31,91"
14/02/2011,"32,01"
15/02/2011,"31,73"
16/02/2011,"31,75"
17/02/2011,"31,45"
18/02/2011,"31,14"
21/02/2011,"31,31"
22/02/2011,"31,27"
23/02/2011,"31,32"
24/02/2011,"31,19"
25/02/2011,"31,03"
28/02/2011,"31,02"
01/03/2011,"31,22"
02/03/2011,"30,96"
03/03/2011,"31,27"
04/03/2011,"31,30"
09/03/2011,"31,39"
10/03/2011,"31,22"
11/03/2011,"31,37"
14/03/2011,"31,39"
15/03/2011,"31,75"
16/03/2011,"31,88"
17/03/2011,"31,72"
18/03/2011,"31,85"
21/03/2011,"31,86"
22/03/2011,"31,76"
23/03/2011,"31,75"
24/03/2011,"31,66"
25/03/2011,"31,51"
28/03/2011,"31,52"
29/03/2011,"30,98"
30/03/2011,"30,91"
31/03/2011,"30,88"
01/04/2011,"30,78"
04/04/2011,"30,80"
05/04/2011,"30,53"
06/04/2011,"30,15"
07/04/2011,"30,24"
08/04/2011,"30,38"
11/04/2011,"30,44"
12/04/2011,"30,36"
13/04/2011,"30,15"
14/04/2011,"30,15"
15/04/2011,"30,10"
18/04/2011,"29,95"
19/04/2011,"29,49"
20/04/2011,"29,25"
25/04/2011,"29,51"
26/04/2011,"29,44"
27/04/2011,"28,84"
28/04/2011,"29,00"
29/04/2011,"29,27"
02/05/2011,"28,61"
03/05/2011,"28,62"
